D_ARRE_TITR;ORIGINATOR_NAME;SERVICER_NAME;LOAN_ID;BORROWER_ID;BORROWER_GROUP_ID;BORROWER_INTERN_TYPE;BORROWER_EC_TYPE;BORROWER_BASE3_SEGM;ORIGINATOR_AFFILIATE;STARTUP_COMPANY;C_NACE_EUROP;C_SECTEUR_ACT_MOODYS;COUNTRY;REGION;TOTAL_DEBTOR_EXPOSURE;BORROWER_DEPOSIT_AMOUNT;ORIGINAL_BALANCE;CURRENT_BALANCE;CURRENCY;ORIGINATION_DATE;MATURITY_DATE;WEIGTHED_AVERAGE_LIFE;LOAN_PURPOSE;ORIGINATION_CHANNEL;FULLY_WITHDRAWN;REFINANCING;DIRECT_DEBIT;NUMBER_DAYS_IN_ARREARS;AMOUNT_IN_ARREARS;INTEREST_RATE;INT_RATE_TYPE;INT_RATE_TYPE_SWITCH_DATE;MARGIN;MINIMUM_MARGIN;INT_REF_RATE;INT_RESET_FREQ;NEXT_RESET_DATE;INT_CAP;INT_FLOOR;PRINC_PMT_FREQ;BALLOON_AMOUNT;INT_PMT_FREQ;NEXT_INT_PMT_DATE;MIN_INT_PMT_FREQ;AMORTISATION_SYSTEM;PRINC_GRACE_PERIOD_END_DATE;INT_GRACE_PERIOD_END_DATE;INTERNAL_BUSINESS_SECTOR;BORROWER_ESTIMATED_PD;BORROWER_INTERNAL_RATING;LOAN_LGD_DownTurn;LOAN_LGD_Normal;BORROWER_EXTERNAL_RATING;ONE_YR_EDF;FIVE_YR_EDF;ONE_YR_IMPLIED_RATING;FIVE_YR_IMPLIED_RATING;FSO_OR_CYCLE_ADJUSTED;FINANCIAL_STATEMENT_YEAR;LOAN_OF_RECEIVABLE_ID;MERGED_DRAWDOWNS_ID;INIT_LOAN_ADVANCE_DATE;LOAN_CURRENT_BALANCE;LOAN_GLOBAL_AMOUNT_IN_ARREARS;RISK_BEARER_OPERATING_COMPANY;RISK_BEARER_ID;RISK_BEARER_TYPE;RISK_BEARER_ORIG_AFFILIATE;RISK_BEARER_STARTUP;RISK_BEARER_NACE_CODE;RISK_BEARER_MOODYS_SECTOR;RISK_BEARER_COUNTRY;RISK_BEARER_REGION;RISK_BEARER_ESTIMATED_PD;RISK_BEARER_INTERNAL_RATING;POOL_IDENTIFIER;PFCPRO;BORROWER_NACE_CODE
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS001843800/7;108359;108359;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;47.11;104;FRANCE;Bretagne;No Data;0;50000;1896,08;EUR;23/06/2016;31/03/2023;0,16;Renovation work;Office network;Yes;No;Yes;0;0;0,73;Fix;;;;;;;;;Quarterly;;Quarterly;31/03/2023;;French;;;No Data;0,84;A;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS001843800;;29/03/2016;22507,32;0;No;108359;Small & Medium Entreprise;No;No;47.11;104;FRANCE;Bretagne;0,84;A;25;10;47.11
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS001843800/6;108359;108359;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;47.11;104;FRANCE;Bretagne;No Data;0;130000;4921,87;EUR;31/05/2016;31/03/2023;0,16;Renovation work;Office network;Yes;No;Yes;0;0;0,68;Fix;;;;;;;;;Quarterly;;Quarterly;31/03/2023;;French;;;No Data;0,84;A;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS001843800;;29/03/2016;22507,32;0;No;108359;Small & Medium Entreprise;No;No;47.11;104;FRANCE;Bretagne;0,84;A;25;10;47.11
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS001843800/5;108359;108359;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;47.11;104;FRANCE;Bretagne;No Data;0;170000;6448,76;EUR;29/04/2016;31/03/2023;0,16;Renovation work;Office network;Yes;No;Yes;0;0;0,74;Fix;;;;;;;;;Quarterly;;Quarterly;31/03/2023;;French;;;No Data;0,84;A;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS001843800;;29/03/2016;22507,32;0;No;108359;Small & Medium Entreprise;No;No;47.11;104;FRANCE;Bretagne;0,84;A;25;10;47.11
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS003874900/3;110634;110634;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;55.10;120;FRANCE;Champagne-Ardenne;No Data;0;750000;286973,22;EUR;31/08/2016;31/08/2026;1,84;Renovation work;Office network;Yes;No;Yes;0;0;0,65;Fix;;;;;;;;;Quarterly;;Quarterly;28/02/2023;;French;;;No Data;0,84;A;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS003874900;;31/08/2016;286973,22;0;No;110634;Small & Medium Entreprise;No;No;55.10;120;FRANCE;Champagne-Ardenne;0,84;A;28;10;55.10
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS000760000/1;3891454;3891454;Small & Medium Entreprise;No Data;Corporate;No;No;41.10;107;FRANCE;Bretagne;No Data;0;2500000;1454197,84;EUR;01/05/2016;30/04/2031;4,35;Real estate investment;Office network;Yes;No;Yes;0;0;1,72;Fix;;;;;;;;;Quarterly;;Quarterly;30/04/2023;;French;;;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS000760000;;01/05/2016;1454197,84;0;Yes;111007;Small & Medium Entreprise;No;No;86.10;118;FRANCE;Haute Normandie;0,84;A;25;160;41.10
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS000057600/23;114236;2734692;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;55.10;120;FRANCE;Île de France;No Data;0;2089764,35;916328,47;EUR;01/10/2015;30/06/2026;1,81;Renovation work;Office network;Yes;No;Yes;0;0;3,32;Switch optionality;No Data;1,9;1,9;Average 3-month Euribor;Quarterly;31/03/2023;;1,9;Quarterly;;Quarterly;31/03/2023;;French;;;No Data;3,07;C;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS000057600;;21/01/2013;916328,47;0;No;114236;Small & Medium Entreprise;No;No;55.10;120;FRANCE;Île de France;3,07;C;25;10;55.10
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS011817600/12;115644;115644;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;32.40;109;FRANCE;Rhône-Alpes;No Data;0;299400;245213,38;EUR;29/01/2021;30/09/2030;3,96;Real estate investment;Office network;Yes;No;Yes;0;0;1,65;Fix;;;;;;;;;Monthly;;Monthly;28/02/2023;;French;;;No Data;1,84;B;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS011817600;;18/09/2020;819015,96;0;No;115644;Small & Medium Entreprise;No;No;32.40;109;FRANCE;Rhône-Alpes;1,84;B;25;10;32.40
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS011817600/8;115644;115644;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;32.40;109;FRANCE;Rhône-Alpes;No Data;0;489200;400662,64;EUR;09/10/2020;30/09/2030;3,96;Real estate investment;Office network;Yes;No;Yes;0;0;1,65;Fix;;;;;;;;;Monthly;;Monthly;28/02/2023;;French;;;No Data;1,84;B;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS011817600;;18/09/2020;819015,96;0;No;115644;Small & Medium Entreprise;No;No;32.40;109;FRANCE;Rhône-Alpes;1,84;B;25;10;32.40
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS011817600/5;115644;115644;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;32.40;109;FRANCE;Rhône-Alpes;No Data;0;17500;14332,79;EUR;18/09/2020;30/09/2030;3,96;Real estate investment;Office network;Yes;No;Yes;0;0;1,65;Fix;;;;;;;;;Monthly;;Monthly;28/02/2023;;French;;;No Data;1,84;B;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS011817600;;18/09/2020;819015,96;0;No;115644;Small & Medium Entreprise;No;No;32.40;109;FRANCE;Rhône-Alpes;1,84;B;25;10;32.40
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS011817600/10;115644;115644;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;32.40;109;FRANCE;Rhône-Alpes;No Data;0;193900;158807,15;EUR;10/12/2020;30/09/2030;3,96;Real estate investment;Office network;Yes;No;Yes;0;0;1,65;Fix;;;;;;;;;Monthly;;Monthly;28/02/2023;;French;;;No Data;1,84;B;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS011817600;;18/09/2020;819015,96;0;No;115644;Small & Medium Entreprise;No;No;32.40;109;FRANCE;Rhône-Alpes;1,84;B;25;10;32.40
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS006346600/1;4232643;3038087;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;68.20;107;FRANCE;Rhône-Alpes;No Data;0;2000000;1551983,34;EUR;01/10/2018;31/03/2034;5,87;Real estate investment;Office network;Yes;No;Yes;0;0;1,9;Fix;;;;;;;;;Quarterly;;Quarterly;31/03/2023;;French;;;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS006346600;;01/10/2018;1551983,34;0;Yes;117103;Small & Medium Entreprise;No;No;47.64;125;FRANCE;Rhône-Alpes;3,07;C;25;160;68.20
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS001038100/4;121131;121131;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;55.10;120;FRANCE;Île de France;No Data;0;750000;345869,34;EUR;01/10/2014;31/10/2027;2,54;Renovation work;Office network;Yes;No;Yes;0;0;2,09;Fix;;;;;;;;;Quarterly;;Quarterly;30/04/2023;;French;;;No Data;5,64;D;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS001038100;;01/10/2014;345869,34;0;No;121131;Small & Medium Entreprise;No;No;55.10;120;FRANCE;Île de France;5,64;D;1;10;55.10
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS006566200/14;127812;3644416;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;55.30;120;FRANCE;Provence-Alpes-Côte d'Azur;No Data;0;150000;108224,74;EUR;23/05/2019;31/03/2028;2,73;Renovation work;Office network;Yes;No;Yes;0;0;2,78;Fix;;;;;;;;;Quarterly;;Quarterly;31/03/2023;;French;;;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS006566200;;29/03/2018;2217808,04;0;No;127812;Small & Medium Entreprise;No;No;55.30;120;FRANCE;Provence-Alpes-Côte d'Azur;No Data;No Data;25;10;55.30
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS006566200/20;127812;3644416;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;55.30;120;FRANCE;Provence-Alpes-Côte d'Azur;No Data;0;217668,5;156451,46;EUR;27/08/2019;31/03/2028;2,72;Renovation work;Office network;Yes;No;Yes;0;0;2,42;Fix;;;;;;;;;Quarterly;;Quarterly;31/03/2023;;French;;;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS006566200;;29/03/2018;2217808,04;0;No;127812;Small & Medium Entreprise;No;No;55.30;120;FRANCE;Provence-Alpes-Côte d'Azur;No Data;No Data;25;10;55.30
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS006566200/24;127812;3644416;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;55.30;120;FRANCE;Provence-Alpes-Côte d'Azur;No Data;0;560847;429599,48;EUR;25/02/2020;31/03/2028;2,72;Renovation work;Office network;Yes;No;Yes;0;0;2,48;Fix;;;;;;;;;Quarterly;;Quarterly;31/03/2023;;French;;;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS006566200;;29/03/2018;2217808,04;0;No;127812;Small & Medium Entreprise;No;No;55.30;120;FRANCE;Provence-Alpes-Côte d'Azur;No Data;No Data;25;10;55.30
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS006566200/18;127812;3644416;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;55.30;120;FRANCE;Provence-Alpes-Côte d'Azur;No Data;0;165000;118784;EUR;26/07/2019;31/03/2028;2,72;Renovation work;Office network;Yes;No;Yes;0;0;2,57;Fix;;;;;;;;;Quarterly;;Quarterly;31/03/2023;;French;;;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS006566200;;29/03/2018;2217808,04;0;No;127812;Small & Medium Entreprise;No;No;55.30;120;FRANCE;Provence-Alpes-Côte d'Azur;No Data;No Data;25;10;55.30
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS006566200/4;127812;3644416;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;55.30;120;FRANCE;Provence-Alpes-Côte d'Azur;No Data;0;162286;117849,02;EUR;29/03/2018;31/03/2028;2,74;Renovation work;Office network;Yes;No;Yes;0;0;3,4;Fix;;;;;;;;;Quarterly;;Quarterly;31/03/2023;;French;;;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS006566200;;29/03/2018;2217808,04;0;No;127812;Small & Medium Entreprise;No;No;55.30;120;FRANCE;Provence-Alpes-Côte d'Azur;No Data;No Data;25;10;55.30
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS006566200/12;127812;3644416;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;55.30;120;FRANCE;Provence-Alpes-Côte d'Azur;No Data;0;150000;108327,11;EUR;10/04/2019;31/03/2028;2,73;Renovation work;Office network;Yes;No;Yes;0;0;2,87;Fix;;;;;;;;;Quarterly;;Quarterly;31/03/2023;;French;;;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS006566200;;29/03/2018;2217808,04;0;No;127812;Small & Medium Entreprise;No;No;55.30;120;FRANCE;Provence-Alpes-Côte d'Azur;No Data;No Data;25;10;55.30
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS006566200/22;127812;3644416;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;55.30;120;FRANCE;Provence-Alpes-Côte d'Azur;No Data;0;220485;163152,39;EUR;18/10/2019;31/03/2028;2,72;Renovation work;Office network;Yes;No;Yes;0;0;2,22;Fix;;;;;;;;;Quarterly;;Quarterly;31/03/2023;;French;;;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS006566200;;29/03/2018;2217808,04;0;No;127812;Small & Medium Entreprise;No;No;55.30;120;FRANCE;Provence-Alpes-Côte d'Azur;No Data;No Data;25;10;55.30
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS006566200/8;127812;3644416;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;55.30;120;FRANCE;Provence-Alpes-Côte d'Azur;No Data;0;150000;108599,45;EUR;26/02/2019;31/03/2028;2,74;Renovation work;Office network;Yes;No;Yes;0;0;3,11;Fix;;;;;;;;;Quarterly;;Quarterly;31/03/2023;;French;;;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS006566200;;29/03/2018;2217808,04;0;No;127812;Small & Medium Entreprise;No;No;55.30;120;FRANCE;Provence-Alpes-Côte d'Azur;No Data;No Data;25;10;55.30
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS006566200/10;127812;3644416;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;55.30;120;FRANCE;Provence-Alpes-Côte d'Azur;No Data;0;150000;108486,09;EUR;25/03/2019;31/03/2028;2,73;Renovation work;Office network;Yes;No;Yes;0;0;3,01;Fix;;;;;;;;;Quarterly;;Quarterly;31/03/2023;;French;;;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS006566200;;29/03/2018;2217808,04;0;No;127812;Small & Medium Entreprise;No;No;55.30;120;FRANCE;Provence-Alpes-Côte d'Azur;No Data;No Data;25;10;55.30
31/01/2023;Bpifrance Financement;Bpifrance Financement;DOS006566200/25;127812;3644416;Small & Medium Entreprise;No Data;SME treated as Corporate;No;No;55.30;120;FRANCE;Provence-Alpes-Côte d'Azur;No Data;0;236486;180874,73;EUR;02/03/2020;31/03/2028;2,72;Renovation work;Office network;Yes;No;Yes;0;0;2,3;Fix;;;;;;;;;Monthly;;Monthly;31/03/2023;;French;;;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;No Data;DOS006566200;;29/03/2018;2217808,04;0;No;127812;Small & Medium Entreprise;No;No;55.30;120;FRANCE;Provence-Alpes-Côte d'Azur;No Data;No Data;25;10;55.30

